height,allInterlinks,validInterlinks,missingPtrs
1258448,2,33,-1
1258449,3,33,-1
1258450,2,33,-1
1258451,2,33,-1
1258452,2,33,-1
1258453,3,33,-1
1258454,2,33,-1
1258455,3,33,-1
1258456,4,33,-1
1258457,2,33,-1
1258458,3,33,-1
1258459,4,33,-1
1258460,2,33,-1
1258461,3,33,-1
1258462,3,33,-1
1258463,4,33,-1
1258464,2,33,-1
1258465,3,33,-1
1258466,3,33,-1
1258467,4,33,-1
1258468,3,33,-1
1258469,4,33,-1
1258470,1,36,-1
1258471,2,36,-1
1258472,2,36,-1
1258473,2,36,-1
1258474,2,36,-1
1258475,2,36,-1
1258476,3,36,-1
1258477,3,36,-1
1258478,3,36,-1
1258479,3,36,-1
1258480,4,36,-1
1258481,4,36,-1
1258482,2,36,-1
1258483,3,36,-1
1258484,4,36,-1
1258485,5,36,-1
1258486,4,36,-1
1258487,5,36,-1
1258488,5,36,-1
1258489,5,36,-1
1258490,4,36,-1
1258491,5,36,-1
1258492,6,36,-1
1258493,6,36,-1
1258494,5,36,-1
1258495,6,36,-1
1258496,5,36,-1
1258497,6,36,-1
1258498,4,36,-1
1258499,5,36,-1
1258500,5,36,-1
1258501,6,36,-1
1258502,6,36,-1
1258503,7,36,-1
1258504,7,36,-1
1258505,7,36,-1
1258506,4,36,-1
1258507,5,36,-1
1258508,3,36,-1
1258509,4,36,-1
1258510,5,36,-1
1258511,4,36,-1
1258512,5,36,-1
1258513,6,36,-1
1258514,5,36,-1
1258515,2,36,-1
1258516,3,36,-1
1258517,3,36,-1
1258518,4,36,-1
1258519,4,36,-1
1258520,5,36,-1
1258521,4,36,-1
1258522,3,36,-1
1258523,4,36,-1
1258524,4,36,-1
1258525,5,36,-1
1258526,4,36,-1
1258527,4,36,-1
1258528,4,36,-1
1258529,5,36,-1
1258530,4,36,-1
1258531,5,36,-1
1258532,5,36,-1
1258533,6,36,-1
1258534,6,36,-1
1258535,7,36,-1
1258536,7,36,-1
1258537,6,36,-1
1258538,6,36,-1
1258539,6,36,-1
1258540,6,36,-1
1258541,7,36,-1
1258542,7,36,-1
1258543,8,36,-1
1258544,7,36,-1
1258545,7,36,-1
1258546,8,36,-1
1258547,6,36,-1
1258548,7,36,-1
1258549,5,36,-1
1258550,6,36,-1
1258551,6,36,-1
1258552,6,36,-1
1258553,6,36,-1
1258554,6,36,-1
1258555,7,36,-1
1258556,7,36,-1
1258557,5,36,-1
1258558,6,36,-1
1258559,6,36,-1
1258560,7,36,-1
1258561,5,36,-1
1258562,6,36,-1
1258563,6,36,-1
1258564,7,36,-1
1258565,7,36,-1
1258566,2,36,-1
1258567,3,36,-1
1258568,3,36,-1
1258569,3,36,-1
1258570,3,36,-1
1258571,4,36,-1
1258572,4,36,-1
1258573,5,36,-1
1258574,5,36,-1
1258575,6,36,-1
1258576,6,36,-1
1258577,6,36,-1
1258578,5,36,-1
1258579,4,36,-1
1258580,5,36,-1
1258581,5,36,-1
1258582,5,36,-1
1258583,5,36,-1
1258584,6,36,-1
1258585,7,36,-1
1258586,4,36,-1
1258587,5,36,-1
1258588,5,36,-1
1258589,6,36,-1
1258590,6,36,-1
1258591,6,36,-1
1258592,7,36,-1
1258593,6,36,-1
1258594,6,36,-1
1258595,7,36,-1
1258596,7,36,-1
1258597,7,36,-1
1258598,6,36,-1
1258599,7,36,-1
1258600,8,36,-1
1258601,7,36,-1
1258602,7,36,-1
1258603,7,36,-1
1258604,6,36,-1
1258605,5,36,-1
1258606,6,36,-1
1258607,3,36,-1
1258608,3,36,-1
1258609,4,36,-1
1258610,4,36,-1
1258611,5,36,-1
1258612,6,36,-1
1258613,7,36,-1
1258614,3,36,-1
1258615,4,36,-1
1258616,4,36,-1
1258617,5,36,-1
1258618,5,36,-1
1258619,5,36,-1
1258620,4,36,-1
1258621,5,36,-1
1258622,5,36,-1
1258623,5,36,-1
1258624,6,36,-1
1258625,4,36,-1
1258626,5,36,-1
1258627,6,36,-1
1258628,7,36,-1
1258629,5,36,-1
1258630,6,36,-1
1258631,6,36,-1
1258632,6,36,-1
1258633,6,36,-1
1258634,7,36,-1
1258635,5,36,-1
1258636,6,36,-1
1258637,6,36,-1
1258638,6,36,-1
1258639,6,36,-1
1258640,6,36,-1
1258641,6,36,-1
1258642,7,36,-1
1258643,7,36,-1
1258644,8,36,-1
1258645,8,36,-1
1258646,6,36,-1
1258647,7,36,-1
1258648,8,36,-1
1258649,7,36,-1
1258650,5,36,-1
1258651,6,36,-1
1258652,7,36,-1
1258653,6,36,-1
1258654,7,36,-1
1258655,8,36,-1
1258656,6,36,-1
1258657,7,36,-1
1258658,7,36,-1
1258659,8,36,-1
1258660,9,36,-1
1258661,9,36,-1
1258662,6,36,-1
1258663,7,36,-1
1258664,8,36,-1
1258665,8,36,-1
1258666,9,36,-1
1258667,6,36,-1
1258668,7,36,-1
1258669,8,36,-1
1258670,6,36,-1
1258671,7,36,-1
1258672,7,36,-1
1258673,7,36,-1
1258674,8,36,-1
1258675,8,36,-1
1258676,8,36,-1
1258677,8,36,-1
1258678,5,36,-1
1258679,6,36,-1
1258680,6,36,-1
1258681,7,36,-1
1258682,7,36,-1
1258683,7,36,-1
1258684,6,36,-1
1258685,7,36,-1
1258686,7,36,-1
1258687,8,36,-1
1258688,7,36,-1
1258689,5,36,-1
1258690,6,36,-1
1258691,6,36,-1
1258692,7,36,-1
1258693,8,36,-1
1258694,7,36,-1
1258695,6,36,-1
1258696,7,36,-1
1258697,6,36,-1
1258698,7,36,-1
1258699,7,36,-1
1258700,7,36,-1
1258701,8,36,-1
1258702,7,36,-1
1258703,8,36,-1
1258704,8,36,-1
1258705,7,36,-1
1258706,8,36,-1
1258707,8,36,-1
1258708,9,36,-1
1258709,10,36,-1
1258710,8,36,-1
1258711,9,36,-1
1258712,4,36,-1
1258713,5,36,-1
1258714,6,36,-1
1258715,5,36,-1
1258716,6,36,-1
1258717,6,36,-1
1258718,6,36,-1
1258719,6,36,-1
1258720,6,36,-1
1258721,7,36,-1
1258722,6,36,-1
1258723,7,36,-1
1258724,7,36,-1
1258725,7,36,-1
1258726,8,36,-1
1258727,6,36,-1
1258728,7,36,-1
1258729,7,36,-1
1258730,8,36,-1
1258731,9,36,-1
1258732,7,36,-1
1258733,7,36,-1
1258734,7,36,-1
1258735,7,36,-1
1258736,8,36,-1
1258737,8,36,-1
1258738,9,36,-1
1258739,9,36,-1
1258740,9,36,-1
1258741,4,36,-1
1258742,5,36,-1
1258743,5,36,-1
1258744,6,36,-1
1258745,5,36,-1
1258746,6,36,-1
1258747,6,36,-1
1258748,6,36,-1
1258749,5,36,-1
1258750,6,36,-1
1258751,6,36,-1
1258752,7,36,-1
1258753,6,36,-1
1258754,6,36,-1
1258755,5,36,-1
